"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "PostCSS", "HTML", "Markdown", "YAML", "Ignore", "comment", "blank", "total"
"g:\graduation-project\RobinStudio\src\renderer\src\components\title-bar\components\toggles\index.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"g:\graduation-project\RobinStudio\src\renderer\src\components\title-bar\components\toggles\output-toggle.component.tsx", "TypeScript JSX", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 34
"g:\graduation-project\RobinStudio\src\renderer\src\components\title-bar\components\toggles\settings-toggle.component.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"g:\graduation-project\RobinStudio\src\renderer\src\components\title-bar\components\toggles\sidebar-toggle.component.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 5, 26
"g:\graduation-project\RobinStudio\src\renderer\src\components\title-bar\components\toggles\theme-toggle.component.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 4, 25
"g:\graduation-project\RobinStudio\src\renderer\src\components\title-bar\components\window-actions.components.tsx", "TypeScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 2, 31
"g:\graduation-project\RobinStudio\src\renderer\src\components\title-bar\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"g:\graduation-project\RobinStudio\src\renderer\src\components\tokens-table\components\tokens-table.component.tsx", "TypeScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 2, 45
"g:\graduation-project\RobinStudio\src\renderer\src\components\tokens-table\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"g:\graduation-project\RobinStudio\src\renderer\src\components\tokens-table\interfaces\tokens-table.props.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"g:\graduation-project\RobinStudio\src\renderer\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 6, 51
"g:\graduation-project\RobinStudio\src\renderer\src\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"g:\graduation-project\RobinStudio\src\renderer\src\components\ui\collapsible.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 10
"g:\graduation-project\RobinStudio\src\renderer\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 12, 120
"g:\graduation-project\RobinStudio\src\renderer\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 17, 186
"g:\graduation-project\RobinStudio\src\renderer\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"g:\graduation-project\RobinStudio\src\renderer\src\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 7, 32
"g:\graduation-project\RobinStudio\src\renderer\src\components\ui\resizable.tsx", "TypeScript JSX", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 6, 41
"g:\graduation-project\RobinStudio\src\renderer\src\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 5, 45
"g:\graduation-project\RobinStudio\src\renderer\src\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 4, 25
"g:\graduation-project\RobinStudio\src\renderer\src\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 15, 121
"g:\graduation-project\RobinStudio\src\renderer\src\components\ui\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 674, 0, 0, 0, 0, 0, 1268, 143, 2085
"g:\graduation-project\RobinStudio\src\renderer\src\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"g:\graduation-project\RobinStudio\src\renderer\src\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 11, 95
"g:\graduation-project\RobinStudio\src\renderer\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 7, 54
"g:\graduation-project\RobinStudio\src\renderer\src\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 7, 31
"g:\graduation-project\RobinStudio\src\renderer\src\components\welcome-tab\components\welome-tab.component.tsx", "TypeScript JSX", 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 16, 157
